a,b
0,450.5
0,451
0,451.5
0,452
0,452.5
0,453
0,453.5
0,454
0,454.5
0,455
0,455.5
0,456
0,456.5
0,457
0,457.5
0,458
0,458.5
0,459
0,459.5
0,460
0,460.5
0,461
0,461.5
0,462
0,462.5
0,463
0,463.5
0,464
0,464.5
0,465
0,465.5
0,466
0,466.5
0,467
0,467.5
0,468
0,468.5
0,469
0,469.5
0,470
0,470.5
0,471
0,471.5
0,472
0,472.5
0,473
0,473.5
0,474
0,474.5
0,475
0,475.5
0,476
0,476.5
0,477
0,477.5
0,478
0,478.5
0,479
0,479.5
0,480
0,480.5
0,481
0,481.5
0,482
0,482.5
0,483
0,483.5
0,484
0,484.5
0,485
0,485.5
0,486
0,486.5
0,487
0,487.5
0,488
0,488.5
0,489
0,489.5
0,490
0,490.5
0,491
0,491.5
0,492
0,492.5
0,493
0,493.5
0,494
0,494.5
0,495
0,495.5
0,496
0,496.5
0,497
0,497.5
0,498
0,498.5
0,499
0,499.5
0,500
