a,b
9750,100.5
950.625,101
3355,101.5
8694.65,102
4426.33,102.5
9621.65,103
1419.73,103.5
4750.84,104
9725.79,104.5
1040.1,105
3634.48,105.5
9022.78,106
3438.71,106.5
8799.33,107
4120.4,107.5
9448.26,108
2033.08,108.5
6316.98,109
9073.57,109.5
3278.34,110
8593.99,110.5
4712.46,111
9717.76,111.5
1069.68,112
3725.52,112.5
9116.52,113
3141.15,113.5
8402.43,114
5235.15,114.5
9728.43,115
1030.34,115.5
3604.31,116
8990.3,116.5
3540.21,117
8918.92,117.5
3760.41,118
9150.73,118.5
3030.86,119
8237.77,119.5
5661.58,120
9579.3,120.5
1571.69,121
5166.22,121.5
9739.22,122
990.504,122.5
3480.34,123
8849.34,123.5
3971.2,124
9337.21,124.5
2413.55,125
7141.01,125.5
7962.27,126
6327.73,126.5
9062.48,127
3313.55,127.5
8640.79,128
4580.41,128.5
9681.34,129
1203.18,129.5
4127.82,130
9453.33,130.5
2015.47,131
6276.1,131.5
9114.91,132
3146.32,132.5
8409.9,133
5215.3,133.5
9731.92,134
1017.48,134.5
3564.4,135
8946.24,135.5
3676.62,136
9066.98,136.5
3299.29,137
8621.95,137.5
4633.76,138
9697.69,138.5
1143.37,139
3949.29,139.5
9319.44,140
2473.54,140.5
7260.63,141
7756.92,141.5
6785.77,142
8506.31,142.5
4955.27,143
9749.22,143.5
953.516,144
3364.13,144.5
8706.33,145
4392.62,145.5
9606.13,146
1475.61,146.5
4905.67,147
9746.53,147.5
963.477,148
3395.53,148.5
8746.01,149
4277.29,149.5
9546.3,150
